id,nome,categoria,subcategoria,descricao,unidade,destaque,ativo,foto_arquivo,badge
1,"Porta Parana","Portas","Semi Sólidas","Porta de entrada da linha das semi sólidas.","un",sim,sim,"porta-semi-solida-parana.jpg",mais-vendido
2,"Porta Copaíba","Portas","Semi Sólidas","Porta superior a paraná em preenchimento e resistencia.","un",sim,sim,"porta-semi-solida-copaiba.jpg",mais-vendido
3,"Porta Naval","Portas","Semi Sólidas","Aqui é o melhor custo benefício pois é resistente a umidade e já vem pronta para receber a tinta.","un",sim,sim,"porta-semi-solida-naval.jpg",
7,"Porta Colmeia","Portas","Com Vidro","Porta linda em madeira com vidro proporciona muita ventilação","un",sim,sim,"porta-solida-Lateral Colmeia.jpg",
11,"2 Frisos","Concrem","Personalizada","Design moderno com 4 frisos horizontais. Acabamento branco impecável e pronto para instalar.","un",sim,sim,"Revestida 4 Frisos.jpg",
13,"Mesa Cascata","Móveis","Mesa","Design orgânico e exclusivo que preserva as linhas naturais do tronco.","un",sim,sim,"Mesa Cascata.jpg",
14,"Colmeia com Almofada","Portas","Colmeia","Porta colmeia com almofada central. Acabamento diferenciado e nobre.","un",sim,sim,"Colméia Trabalhada Reta c Almofada.jpg",
15,"Colmeia com Veneziana","Portas","Colmeia","Porta colmeia com veneziana para equilíbrio de luz e privacidade.","un",sim,sim,"Colmeia c Veneziana.jpg",
